Player_Name,Market_Value
Ederson,"20,00 mio. €"
Stefan Ortega,"8,00 mio. €"
Marcus Bettinelli,600 K €
Rúben Dias,"65,00 mio. €"
Abdukodir Khusanov,"35,00 mio. €"
Vitor Reis,"30,00 mio. €"
Manuel Akanji,"28,00 mio. €"
John Stones,"25,00 mio. €"
Nathan Aké,"25,00 mio. €"
Josko Gvardiol,"75,00 mio. €"
Rayan Aït-Nouri,"35,00 mio. €"
Josh Wilson-Esbrand,"4,00 mio. €"
Rico Lewis,"40,00 mio. €"
Issa Kaboré,"4,00 mio. €"
Rodri,"110,00 mio. €"
Kalvin Phillips,"12,00 mio. €"
Tijjani Reijnders,"60,00 mio. €"
Nico González,"40,00 mio. €"
Matheus Nunes,"35,00 mio. €"
Mateo Kovacic,"20,00 mio. €"
Sverre Nypan,"15,00 mio. €"
İlkay Gündoğan,"5,00 mio. €"
Bernardo Silva,"38,00 mio. €"
James McAtee,"20,00 mio. €"
Claudio Echeverri,"18,00 mio. €"
Nico O'Reilly,"18,00 mio. €"
Jérémy Doku,"50,00 mio. €"
Jack Grealish,"28,00 mio. €"
Phil Foden,"100,00 mio. €"
Savinho,"50,00 mio. €"
Rayan Cherki,"45,00 mio. €"
Oscar Bobb,"25,00 mio. €"
Erling Haaland,"180,00 mio. €"
Omar Marmoush,"75,00 mio. €"
Ederson,"20,00 mio. €"
Stefan Ortega,"8,00 mio. €"
Marcus Bettinelli,600 K €
Rúben Dias,"65,00 mio. €"
Abdukodir Khusanov,"35,00 mio. €"
Vitor Reis,"30,00 mio. €"
Manuel Akanji,"28,00 mio. €"
John Stones,"25,00 mio. €"
Nathan Aké,"25,00 mio. €"
Josko Gvardiol,"75,00 mio. €"
Rayan Aït-Nouri,"35,00 mio. €"
Josh Wilson-Esbrand,"4,00 mio. €"
Rico Lewis,"40,00 mio. €"
Issa Kaboré,"4,00 mio. €"
Rodri,"110,00 mio. €"
Kalvin Phillips,"12,00 mio. €"
Tijjani Reijnders,"60,00 mio. €"
Nico González,"40,00 mio. €"
Matheus Nunes,"35,00 mio. €"
Mateo Kovacic,"20,00 mio. €"
Sverre Nypan,"15,00 mio. €"
İlkay Gündoğan,"5,00 mio. €"
Bernardo Silva,"38,00 mio. €"
James McAtee,"20,00 mio. €"
Claudio Echeverri,"18,00 mio. €"
Nico O'Reilly,"18,00 mio. €"
Jérémy Doku,"50,00 mio. €"
Jack Grealish,"28,00 mio. €"
Phil Foden,"100,00 mio. €"
Savinho,"50,00 mio. €"
Rayan Cherki,"45,00 mio. €"
Oscar Bobb,"25,00 mio. €"
Erling Haaland,"180,00 mio. €"
Omar Marmoush,"75,00 mio. €"
David Raya,"40,00 mio. €"
Kepa Arrizabalaga,"10,00 mio. €"
Karl Hein,"3,00 mio. €"
William Saliba,"80,00 mio. €"
Gabriel Magalhães,"75,00 mio. €"
Jakub Kiwior,"28,00 mio. €"
Myles Lewis-Skelly,"45,00 mio. €"
Riccardo Calafiori,"35,00 mio. €"
Oleksandr Zinchenko,"20,00 mio. €"
Jurrien Timber,"55,00 mio. €"
Ben White,"45,00 mio. €"
Martín Zubimendi,"60,00 mio. €"
Christian Nørgaard,"11,00 mio. €"
Declan Rice,"120,00 mio. €"
Mikel Merino,"35,00 mio. €"
Albert Sambi Lokonga,"8,00 mio. €"
Martin Ødegaard,"85,00 mio. €"
Fábio Vieira,"22,00 mio. €"
Gabriel Martinelli,"55,00 mio. €"
Leandro Trossard,"22,00 mio. €"
Bukayo Saka,"150,00 mio. €"
Ethan Nwaneri,"55,00 mio. €"
Noni Madueke,"40,00 mio. €"
Reiss Nelson,"16,00 mio. €"
Kai Havertz,"65,00 mio. €"
Gabriel Jesus,"32,00 mio. €"
Giorgi Mamardashvili,"30,00 mio. €"
Alisson,"20,00 mio. €"
Freddie Woodman,"3,50 mio. €"
Ármin Pécsi,800 K €
Ibrahima Konaté,"60,00 mio. €"
Virgil van Dijk,"23,00 mio. €"
Joe Gomez,"20,00 mio. €"
Rhys Williams,700 K €
Milos Kerkez,"45,00 mio. €"
Konstantinos Tsimikas,"18,00 mio. €"
Andrew Robertson,"18,00 mio. €"
Jeremie Frimpong,"50,00 mio. €"
Conor Bradley,"30,00 mio. €"
Calvin Ramsay,"2,50 mio. €"
Ryan Gravenberch,"75,00 mio. €"
Stefan Bajcetic,"9,00 mio. €"
Wataru Endo,"8,00 mio. €"
Tyler Morton,"7,00 mio. €"
Alexis Mac Allister,"100,00 mio. €"
Curtis Jones,"45,00 mio. €"
Florian Wirtz,"140,00 mio. €"
Dominik Szoboszlai,"80,00 mio. €"
Harvey Elliott,"30,00 mio. €"
Luis Díaz,"70,00 mio. €"
Cody Gakpo,"70,00 mio. €"
Mohamed Salah,"50,00 mio. €"
Federico Chiesa,"14,00 mio. €"
Ben Doak,"14,00 mio. €"
Darwin Núñez,"45,00 mio. €"
Guglielmo Vicario,"32,00 mio. €"
Antonín Kinský,"15,00 mio. €"
Brandon Austin,600 K €
Cristian Romero,"50,00 mio. €"
Micky van de Ven,"50,00 mio. €"
Kevin Danso,"25,00 mio. €"
Radu Drăgușin,"25,00 mio. €"
Luka Vuskovic,"12,00 mio. €"
Ben Davies,"6,00 mio. €"
Ashley Phillips,"2,80 mio. €"
Kota Takai,"2,50 mio. €"
Destiny Udogie,"40,00 mio. €"
Djed Spence,"20,00 mio. €"
Pedro Porro,"38,00 mio. €"
Archie Gray,"38,00 mio. €"
Rodrigo Bentancur,"30,00 mio. €"
Yves Bissouma,"25,00 mio. €"
Lucas Bergvall,"38,00 mio. €"
Pape Matar Sarr,"32,00 mio. €"
Dejan Kulusevski,"50,00 mio. €"
James Maddison,"42,00 mio. €"
Alfie Devine,"3,50 mio. €"
Heung-min Son,"20,00 mio. €"
Mikey Moore,"18,00 mio. €"
Bryan Gil,"15,00 mio. €"
Manor Solomon,"14,00 mio. €"
Mohammed Kudus,"45,00 mio. €"
Brennan Johnson,"40,00 mio. €"
Wilson Odobert,"20,00 mio. €"
Min-hyeok Yang,"3,50 mio. €"
Dominic Solanke,"40,00 mio. €"
Mathys Tel,"35,00 mio. €"
Richarlison,"20,00 mio. €"
Dane Scarlett,"2,00 mio. €"
André Onana,"25,00 mio. €"
Altay Bayındır,"8,00 mio. €"
Tom Heaton,200 K €
Leny Yoro,"55,00 mio. €"
Lisandro Martínez,"40,00 mio. €"
Matthijs de Ligt,"38,00 mio. €"
Harry Maguire,"13,00 mio. €"
Ayden Heaven,"5,00 mio. €"
Tyler Fredricson,"3,00 mio. €"
Patrick Dorgu,"25,00 mio. €"
Luke Shaw,"12,00 mio. €"
Tyrell Malacia,"8,00 mio. €"
Harry Amass,"5,00 mio. €"
Diego León,"4,00 mio. €"
Diogo Dalot,"30,00 mio. €"
Noussair Mazraoui,"25,00 mio. €"
Manuel Ugarte,"45,00 mio. €"
Casemiro,"10,00 mio. €"
Toby Collyer,"5,00 mio. €"
