GA,Command_index,Market_Value_Numeric,GA90,Save_consistency,League_strength,Shot_stopping_index,PKatt,Adj_GA90,Starts,MP,Goals_prevented,Saves_per_90,Mins_per_match,L,90s,Experience,W,SoTA,CS,D,Adj_save%,Born,Min,Top_team_experience,Market_value_driver,Age,Shots_faced_per_90,PKA,Saves
29,0.37009321323837446,20000000.0,1.04,0.9984831968017015,0.90839,0.5667644276253547,1,1.1448827045652197,28,28,3.0000000000000027,2.6164874551971327,89.57142857142857,3,27.9,7.827639546366422,18,100,9,7,0.6540408,1992,2508.0,1,2.0472577622517525,31,3.5842293906810037,1,73
41,0.340211056600046,9000000.0,1.63,0.9985562422010381,0.90839,0.3326794228949861,0,1.794383469655104,25,26,-5.404999999999992,3.0677290836653386,86.92307692307692,13,25.1,7.72356247227797,5,115,5,7,0.58409477,1993,2260.0,0,1.8370420566188508,31,4.581673306772908,0,77
39,0.35459877366035725,10000000.0,1.26,0.9966500746638339,0.90839,0.6253384105960268,4,1.3870694305309392,31,31,6.56600000000002,3.064516129032258,90.0,11,31.0,7.934155233536322,13,134,8,7,0.6713002100000001,1994,2790.0,0,1.9851881838309633,29,4.32258064516129,4,95
2,0.2900826446280992,600000.0,2.0,0.9682699983970502,0.90839,0.33561967833491013,0,2.2016975087792687,1,1,-0.7599999999999998,2.0,90.0,1,1.0,4.51085950651685,0,4,0,0,0.454195,1999,90.0,1,1.2829984498776135,25,4.0,0,2
10,0.3525826446280992,8000000.0,2.5,0.9325104349132308,0.90839,0.18787710501419125,0,2.752121885974086,4,4,-4.725999999999998,2.0,90.0,3,4.0,5.8888779583328805,1,17,1,0,0.37425668000000006,1998,360.0,0,1.4225172395785677,26,4.25,0,8
4,0.4150826446280992,1500000.0,2.0,0.9998033584747218,0.90839,0.41157767265846745,0,2.2016975087792687,2,2,-0.2759999999999989,4.0,90.0,1,2.0,5.198497031265826,1,12,1,0,0.6058961300000001,1993,180.0,0,1.3783612528406537,31,6.0,0,8
12,0.4150826446280992,1000000.0,1.2,0.9993257165117977,0.90839,0.5059882686849576,0,1.3210185052675611,10,10,0.6970000000000052,2.9,90.0,3,10.0,6.191189784423588,7,41,5,0,0.6422317300000001,1989,900.0,0,1.6099435120814776,35,4.1,0,29
26,0.3859866349295525,20000000.0,1.01,0.9998795479019158,0.90839,0.5040017502365186,2,1.1118572419335306,26,26,0.1560000000000088,2.054263565891473,89.23076923076923,6,25.8,7.749753406274437,16,78,10,4,0.6286058800000001,1993,2320.0,1,2.0136869525700574,30,3.0232558139534884,2,53
26,0.3859866349295525,20000000.0,1.01,0.9998795479019158,0.90839,0.5040017502365186,2,1.1118572419335306,26,26,0.1560000000000088,2.054263565891473,89.23076923076923,6,25.8,7.749753406274437,16,78,10,4,0.6286058800000001,1993,2320.0,1,2.0136869525700574,30,3.0232558139534884,2,53
21,0.32829432723724483,,1.63,0.9957959037942772,0.90839,0.5513817880794701,3,1.794383469655104,13,14,3.9760000000000035,3.875968992248062,82.85714285714286,4,12.9,5.5750592155413345,6,71,2,3,0.67765894,1985,1160.0,0,1.4809080507453927,39,5.503875968992248,3,50
55,0.3372913941095759,10000000.0,1.51,0.9972014262215898,0.90839,0.6493566225165567,1,1.6622816191283478,37,37,8.93200000000003,4.120879120879121,88.51351351351352,13,36.4,8.09437844497296,16,203,7,8,0.6667582600000002,1993,3275.0,0,2.021312355402781,31,5.5769230769230775,1,150
15,0.3257969303423849,,2.14,0.9999194427940677,0.90839,0.4155,2,2.355816334393818,7,7,0.0,3.857142857142857,90.0,4,7.0,5.673629159036267,1,42,1,2,0.6267891,1988,630.0,1,1.5524390643928498,36,6.0,2,27
51,0.4390410326833239,20000000.0,1.34,0.9998033584747218,0.90839,0.40102090823084235,2,1.47513733088211,38,38,-3.4499999999999864,2.6578947368421053,90.0,11,38.0,8.137688184977605,13,150,11,14,0.6058961300000001,1997,3420.0,0,1.9684942130471468,27,3.9473684210526314,1,101
58,0.35544304069308774,,2.19,0.9987039338055835,0.90839,0.2617727057710505,4,2.4108587721132992,27,27,-6.974999999999989,3.7358490566037736,88.33333333333333,18,26.5,7.777373602657861,3,155,1,6,0.5859115500000001,2000,2385.0,0,1.8267949277247122,24,5.849056603773585,3,99
17,0.2900826446280992,6000000.0,2.43,0.9956597157140542,0.90839,0.3084046830652792,2,2.6750624731668116,7,7,-2.924999999999998,3.2857142857142856,90.0,6,7.0,6.447305862541213,0,39,0,1,0.55865985,1993,630.0,0,1.5607624727381149,31,5.571428571428571,2,23
9,0.33174931129476587,,1.5,0.9989137825040609,0.90839,0.48581523178807956,1,1.6512731315844515,6,6,0.6720000000000037,3.1666666666666665,90.0,3,6.0,5.664077350961833,3,28,1,0,0.6485904600000001,2002,540.0,1,1.5766271291418859,22,4.666666666666667,1,19
12,0.48672842264208344,20000000.0,1.2,0.9999747573296394,0.90839,0.47059867549668866,1,1.3210185052675611,10,10,-0.5180000000000005,2.4,90.0,1,10.0,6.803505257608338,7,37,4,2,0.6140716399999999,1998,900.0,1,1.8379316936060293,25,3.7,0,24
11,0.33174931129476587,15000000.0,1.83,0.9993741777174328,0.90839,0.4045634342478713,0,2.0145532205330308,6,6,-1.088000000000001,3.8333333333333335,90.0,5,6.0,5.349406387019509,1,32,1,0,0.59590384,2003,540.0,1,1.4852548072143485,21,5.333333333333333,0,23
54,0.37907851827593375,10000000.0,1.42,0.9999959023402899,0.90839,0.4320063386944185,4,1.5632052312332807,38,38,-1.748999999999984,2.789473684210526,90.0,14,38.0,8.137688184977605,15,159,5,9,0.6167968100000001,1992,3420.0,0,1.9643484851075512,32,4.184210526315789,3,106
7,0.2900826446280992,,2.33,0.9990384200824136,0.90839,0.37011281929990547,0,2.564977597727848,3,3,-0.7999999999999985,4.333333333333333,90.0,2,3.0,5.602118820879701,0,20,0,1,0.5904535000000001,1995,270.0,0,1.4133229120879318,29,6.666666666666667,0,13
45,0.4206358729947219,20000000.0,1.27,0.9999194427940677,0.90839,0.48074999999999996,2,1.3980779180748357,37,37,0.0,2.704225352112676,86.32432432432432,10,35.5,8.069342366811636,18,142,8,9,0.6267891,1992,3194.0,0,1.9781289416110077,31,4.0,1,96
13,0.2900826446280992,,2.6,0.9995173004833887,0.90839,0.39530122989593186,2,2.8622067614130495,5,5,0.4810000000000004,4.8,90.0,5,5.0,5.744779299132517,0,37,0,0,0.63859817,1989,450.0,0,1.4506709514471043,34,7.4,2,24
33,0.3039715335169881,,1.83,0.9996400513506576,0.90839,0.46167147587511825,3,2.0145532205330308,18,18,1.0000000000000009,3.7222222222222223,90.0,10,18.0,7.390798521735676,2,100,1,6,0.635873,1998,1620.0,0,1.8065766042826739,25,5.555555555555555,3,67
2,0.2900826446280992,1500000.0,1.0,0.9735041465220917,0.90839,0.6017727530747399,0,1.1008487543896344,2,2,2.0280000000000005,5.5,90.0,0,2.0,4.730632298451902,0,13,0,2,0.76849794,1989,180.0,0,1.3201065844235642,35,6.5,0,11
6,0.5413719008264463,,2.39,0.9985562422010381,0.90839,0.36549966887417223,1,2.6310285229912265,1,4,-0.657999999999999,3.2,56.5,0,2.5,5.099453016432518,1,14,1,0,0.58409477,1990,226.0,0,1.3739974625990756,34,5.6,1,8
44,0.41236025202206383,25000000.0,1.29,0.9999363918066518,0.90839,0.47635236518448465,4,1.4200948931626283,34,34,-0.13199999999998546,2.588235294117647,90.0,15,34.0,8.026496938945412,10,132,9,9,0.6258807100000001,1996,3060.0,0,1.9659517786091678,28,3.8823529411764706,3,88
18,0.3531110283159463,8000000.0,1.47,0.9999989508682889,0.90839,0.452289262062441,2,1.6182476689527625,12,13,-0.4999999999999949,2.7049180327868854,84.61538461538461,3,12.2,7.00397413672268,5,50,3,4,0.6177052000000001,1992,1100.0,1,1.838212826145377,31,4.0983606557377055,2,33
18,0.3531110283159463,8000000.0,1.47,0.9999989508682889,0.90839,0.452289262062441,2,1.6182476689527625,12,13,-0.4999999999999949,2.7049180327868854,84.61538461538461,3,12.2,7.00397413672268,5,50,3,4,0.6177052000000001,1992,1100.0,1,1.838212826145377,31,4.0983606557377055,2,33
30,0.2900826446280992,,2.31,0.9921369958542305,0.90839,0.2318943708609275,1,2.5429606226400554,13,13,-6.95799999999999,3.3076923076923075,90.0,9,13.0,7.065613363597717,1,71,0,3,0.5377668800000001,1996,1170.0,0,1.6576453636778932,27,5.461538461538462,1,43
44,0.5222099470543381,18000000.0,1.16,0.9976071176717266,0.90839,0.628368022705771,2,1.2769845550919758,38,38,6.520000000000006,3.0789473684210527,90.0,12,38.0,8.137688184977605,11,163,12,15,0.6631247,1994,3420.0,0,2.0688579317061255,30,4.2894736842105265,0,117
35,0.4381011830592637,8000000.0,1.25,0.9987074199093742,0.90839,0.5543555818353835,2,1.376060942987043,28,28,3.240000000000016,3.0714285714285716,90.0,9,28.0,7.83241092718792,13,120,8,6,0.6513156300000001,1992,2520.0,0,1.9608709348447841,32,4.285714285714286,1,86
2,0.5420971074380165,2500000.0,1.24,0.9682699983970502,0.90839,0.3926196783349102,0,1.3650524554431467,1,2,-0.7599999999999998,1.875,72.5,1,1.6,4.485245959537503,0,4,1,0,0.454195,2001,145.0,0,1.2608293561842232,22,2.5,0,3
66,0.3980047221640977,,2.2,0.9999747573296394,0.90839,0.35559867549668867,7,2.421867259657196,30,30,-2.6320000000000023,4.0,90.0,23,30.0,7.901377353792616,2,188,3,5,0.6140716399999999,1998,2700.0,0,1.8950751877233887,26,6.266666666666667,5,120
34,0.37560896041757286,40000000.0,0.89,0.996295733185978,0.90839,0.6481200094607379,3,0.9797553914067746,38,38,6.2400000000000055,2.263157894736842,90.0,4,38.0,8.137688184977605,20,120,13,14,0.67402538,1995,3420.0,1,2.1391208804111725,28,3.1578947368421053,3,86
48,0.433238406974585,7000000.0,1.66,0.997602383152633,0.90839,0.2998988647114478,7,1.827408932286793,29,29,-6.785999999999993,2.3793103448275863,89.96551724137932,13,29.0,7.867105500316739,11,117,7,5,0.57410248,1993,2609.0,0,1.8775343044560007,31,4.0344827586206895,5,69
34,0.4181727870319333,,1.06,0.9931621072336538,0.90839,0.7039240302743615,5,1.1668996796530124,32,32,9.398000000000009,2.875,90.0,6,32.0,7.9658927350845286,17,127,10,9,0.69400996,1997,2880.0,1,2.1349341543709155,26,3.96875,4,92
46,0.37560896041757286,7000000.0,1.21,0.9966500746638339,0.90839,0.6578301324503315,3,1.3320269928114576,38,38,8.085000000000026,3.1315789473684212,90.0,11,38.0,8.137688184977605,19,165,13,8,0.6713002100000001,1992,3420.0,0,2.0425194234575303,32,4.342105263157895,3,119
1,0.4150826446280992,1500000.0,0.5,0.9952648769885244,0.90839,0.5670411542100284,0,0.5504243771948172,2,2,0.2400000000000002,1.5,90.0,0,2.0,5.042542120327851,2,4,1,0,0.6812925000000001,1990,180.0,0,1.4015824891961048,33,2.0,0,3
16,0.3400826446280992,,1.6,0.9979769161102846,0.90839,0.38944257332071913,0,1.7613580070234152,10,10,-2.3759999999999972,2.8,90.0,6,10.0,6.46332999472792,3,44,2,1,0.57773604,2000,900.0,0,1.6048305607648605,23,4.4,0,28
5,0.3400826446280992,4000000.0,1.0,0.9860423497738376,0.90839,0.5970340586565752,0,1.1008487543896344,5,5,2.7500000000000027,4.0,90.0,1,5.0,6.111467339502679,2,25,1,2,0.726712,1999,450.0,0,1.6071150495873616,25,5.0,0,20
58,0.3386937557392103,30000000.0,1.61,0.9994231672903526,0.90839,0.3527595553453172,9,1.7723664945673114,36,36,-4.718999999999989,2.4166666666666665,90.0,9,36.0,6.871091622670315,14,143,7,13,0.59681223,2002,3240.0,0,1.673196607839727,21,3.9722222222222223,9,87
37,0.33174931129476587,32000000.0,1.54,0.9988436875318121,0.90839,0.3603104068117316,1,1.6953070817600369,24,24,-4.385999999999992,2.7916666666666665,90.0,12,24.0,7.6783263565068856,9,102,4,3,0.58772833,1996,2160.0,1,1.935550241509175,27,4.25,1,67
19,0.3257969303423849,,2.71,0.986490330403963,0.90839,0.22936986754966898,2,2.983300124395909,7,7,-4.914,2.857142857142857,90.0,5,7.0,6.447305862541213,1,39,1,1,0.5123319599999999,1995,630.0,0,1.5420288587362228,28,5.571428571428571,2,20
6,0.2900826446280992,,4.0,0.9268058410845955,0.90839,0.10512771996215714,0,4.4033950175585375,1,2,-2.8999999999999995,2.6666666666666665,67.5,1,1.5,4.912654885736052,0,10,0,0,0.363356,1993,135.0,0,1.1826853402909903,31,6.666666666666667,0,4
