,Market_Value_Numeric
0,20000000.0
1,9000000.0
2,10000000.0
3,600000.0
4,8000000.0
5,1500000.0
6,1000000.0
7,20000000.0
8,20000000.0
10,10000000.0
12,20000000.0
14,6000000.0
16,20000000.0
17,15000000.0
18,10000000.0
20,20000000.0
23,1500000.0
25,25000000.0
26,8000000.0
27,8000000.0
29,18000000.0
30,8000000.0
31,2500000.0
33,40000000.0
34,7000000.0
36,7000000.0
37,1500000.0
39,4000000.0
40,30000000.0
41,32000000.0
44,500000.0
45,15000000.0
46,6000000.0
47,1800000.0
49,7500000.0
50,20000000.0
51,2500000.0
53,700000.0
54,2000000.0
57,25000000.0
58,2500000.0
59,6000000.0
61,3000000.0
64,18000000.0
65,30000000.0
66,600000.0
67,3500000.0
68,900000.0
69,20000000.0
72,8000000.0
74,18000000.0
76,5000000.0
78,28000000.0
79,6000000.0
80,3000000.0
83,12000000.0
84,2000000.0
85,900000.0
87,3200000.0
88,3500000.0
89,9000000.0
90,9000000.0
91,25000000.0
93,18000000.0
94,3500000.0
95,5000000.0
96,1000000.0
98,1500000.0
99,25000000.0
100,10000000.0
103,16000000.0
104,2000000.0
105,3500000.0
106,7500000.0
107,150000.0
108,500000.0
110,400000.0
111,2500000.0
113,3000000.0
114,2500000.0
115,1500000.0
118,2000000.0
119,2000000.0
122,650000.0
125,4000000.0
126,1000000.0
128,20000000.0
129,25000000.0
130,1000000.0
131,6500000.0
132,2000000.0
134,18000000.0
135,3000000.0
137,9000000.0
139,500000.0
140,500000.0
141,14000000.0
145,40000000.0
148,800000.0
149,1200000.0
150,700000.0
151,1500000.0
152,4000000.0
153,4000000.0
154,5000000.0
155,12000000.0
156,2500000.0
157,3000000.0
158,3000000.0
159,750000.0
160,400000.0
162,2500000.0
164,2500000.0
165,12000000.0
166,12000000.0
168,3500000.0
170,4000000.0
171,4500000.0
173,3000000.0
175,600000.0
176,30000000.0
177,500000.0
178,300000.0
179,1200000.0
181,12000000.0
182,40000000.0
183,7000000.0
185,600000.0
186,300000.0
187,1200000.0
188,5000000.0
192,1000000.0
193,1200000.0
196,10000000.0
198,20000000.0
199,8000000.0
202,12000000.0
203,12000000.0
204,3000000.0
205,300000.0
